marathon,date,year
Boston,1998-04-20 ,1998
Boston,1999-04-19 ,1999
Boston,2000-04-17 ,2000
Boston,2001-04-16 ,2001
Boston,2002-04-15 ,2002
Boston,2003-04-21 ,2003
Boston,2004-04-19 ,2004
Boston,2005-04-18 ,2005
Boston,2006-04-17 ,2006
Boston,2007-04-16 ,2007
Boston,2008-04-21 ,2008
Boston,2009-04-20 ,2009
Boston,2010-04-19 ,2010
Boston,2011-04-18 ,2011
Boston,2012-04-16 ,2012
Boston,2013-04-15 ,2013
Boston,2014-04-21 ,2014
Boston,2015-04-20 ,2015
Boston,2016-04-18 ,2016
NYC,1993-11-14,1993
NYC,1994-11-06,1994
NYC,1995-11-12,1995
NYC,1996-11-03,1996
NYC,1997-11-02,1997
NYC,1998-11-01,1998
NYC,1999-11-07,1999
NYC,2000-11-05,2000
NYC,2001-11-04,2001
NYC,2002-11-03,2002
NYC,2003-11-02,2003
NYC,2004-11-07,2004
NYC,2005-11-06,2005
NYC,2006-11-05,2006
NYC,2007-11-04,2007
NYC,2008-11-02,2008
NYC,2009-11-01,2009
NYC,2010-11-07,2010
NYC,2011-11-06,2011
NYC,2012-11-04,2012
NYC,2013-11-03,2013
NYC,2014-11-02,2014
NYC,2015-11-01,2015
NYC,2016-11-06,2016
Twin Cities,2000-10-01,2000
Twin Cities,2001-10-07,2001
Twin Cities,2002-10-06,2002
Twin Cities,2003-10-05,2003
Twin Cities,2004-10-03,2004
Twin Cities,2005-10-02,2005
Twin Cities,2006-10-01,2006
Twin Cities,2007-10-07,2007
Twin Cities,2008-10-05,2008
Twin Cities,2009-10-04,2009
Twin Cities,2010-10-03,2010
Twin Cities,2011-10-02,2011
Twin Cities,2012-10-07,2012
Twin Cities,2013-10-06,2013
Twin Cities,2014-10-05,2014
Twin Cities,2015-10-04,2015
Twin Cities,2016-10-09,2016
Chicago,1996-10-20 ,1996
Chicago,1997-10-19 ,1997
Chicago,1998-10-11 ,1998
Chicago,1999-10-24 ,1999
Chicago,2000-10-22 ,2000
Chicago,2001-10-07 ,2001
Chicago,2002-10-13 ,2002
Chicago,2003-10-12 ,2003
Chicago,2004-10-10 ,2004
Chicago,2005-10-09 ,2005
Chicago,2006-10-22 ,2006
Chicago,2007-10-07 ,2007
Chicago,2008-10-12 ,2008
Chicago,2009-10-11 ,2009
Chicago,2010-10-10 ,2010
Chicago,2011-10-09 ,2011
Chicago,2012-10-07 ,2012
Chicago,2013-10-13 ,2013
Chicago,2014-10-12 ,2014
Chicago,2015-10-11 ,2015
Chicago,2016-10-09 ,2016
Grandmas,2000-06-17,2000
Grandmas,2001-06-16,2001
Grandmas,2002-06-22,2002
Grandmas,2003-06-21,2003
Grandmas,2004-06-19,2004
Grandmas,2005-06-18,2005
Grandmas,2006-06-17,2006
Grandmas,2007-06-16,2007
Grandmas,2008-06-21,2008
Grandmas,2009-06-20,2009
Grandmas,2010-06-19,2010
Grandmas,2011-06-18,2011
Grandmas,2012-06-16,2012
Grandmas,2013-06-22,2013
Grandmas,2014-06-21,2014
Grandmas,2015-06-20,2015
Grandmas,2016-06-18,2016